household_income,population_inequality_gini_index,population_mean_income,fairness_and_satisfaction,support_for_redistribution
,38.78293791,29715,1,5.5
20,37.21451104,123630,3.5,3.25
100,20.75,60000,5,3.75
150,35.37958049,59355,7,2.75
500,16.875,15360,4.5,3
600,40.92447917,57600,2.5,3.75
600,35.72710385,80745,3,4.25
600,36.57026976,79515,4.5,3.5
600,44.77811207,39885,4,3.75
680,31.72378517,58650,4.5,3.5
1000,51.48527529,46860,4.5,4.75
1000,14.26293559,14205,4.5,3
1100,32.33503315,29415,1,5.25
1200,47.70785071,58275,3,5.25
1400,26.77804938,61365,2.5,4
1600,42.26188881,44790,2,3.5
2000,25.4652456,32370,5,3.5
3800,18.11182109,46950,5,3
4000,34.70986812,65970,2,5
4000,19.44776119,40200,3,3.75
4200,20.69215332,74745,9,2.25
5000,36.20041394,43485,4.5,4
5000,33.01589825,47175,6,2.5
5299.99,19.39987974,49890,3,5.25
5583,34.14407436,77460,3,4.5
6000,51.51305862,51690,1,5
6000,33.49452954,75405,1,2
6000,27.18515394,71130,5,2.75
6000,35.12381646,61785,1.5,4.25
7500,35.82933709,53175,1,4.5
9000,48.20971867,58650,6,2.75
9000,42.95636792,25440,2,3.75
9200,36.35112806,47205,2.5,4.75
10000,37.10742496,56970,1,4.5
10100,42.5015873,47250,3,3.5
10500,42.40600904,56415,1,5.75
12000,46.82696759,51840,3,5
12000,43.71544715,40590,5,2.75
12000,45.40296925,42435,1,3.25
12000,37.57060519,52050,1,5.25
15000,38.78368402,40635,5,1.75
15000,47.22613683,36615,3,4.5
15000,41.98696845,43740,1,4.25
15000,42.4929972,53550,1,5.75
16000,31.594172,63315,4,2.5
16000,36.49196141,46650,1,4
16000,38.83655816,65895,1,6
17000,57.4549943,39495,1,6
18000,32.9181532,71475,1,3.75
18000,38.02313625,52515,3,3.5
18000,34.80740741,60750,1,5.75
18000,36.88956715,54060,5,2
19000,34.16291252,57270,2.5,3.5
19000,22.60402685,22350,1,6
19000,43.16901408,53250,1,6
20000,39.8608,46875,4.5,5.25
20000,31.65695364,56625,3,4
20000,29.23453608,58200,3,3
20000,42.15222738,54885,3.5,4
20000,35.08577753,54210,1,5.25
20000,25.50678227,107265,3,3.5
20000,42.10562181,88050,2.5,5
21000,35.26339969,48975,2,3.75
21000,39.138322,66150,2.5,4.5
21000,38.32108812,64515,7,2.5
21000,41.85789474,57000,2,4
21000,29.42118975,69090,3,5.5
21000,42.80499777,67230,3.5,4.75
22000,40.66523605,45435,5,4.75
22000,40.47145735,44670,3,3.75
23000,46.88854489,48450,1,4.25
24000,43.08009153,26220,1,6
24000,39.52552553,49950,4,2.25
24000,43.77850163,46050,1,6
24000,39.34166403,47415,2,5
24000,44.42526072,64725,3.5,3.75
25000,33.83489681,79950,1,6
25000,39.27769572,50775,1,4.75
25000,27.10471204,28650,3,3
25000,45.55423637,55590,2.5,4.25
25000,41.6,50250,5,3.25
25000,40.12313938,55425,1,5.25
25000,47.72412765,50295,3,4.75
25000,36.07880911,42825,1,4.5
25000,29.50916497,36825,5.5,5
25000,49.94573643,58050,1,5.25
25000,16.17391304,31050,7,5
25000,44.73498233,84900,4.5,2.75
25000,40.72522523,46620,1.5,4.5
26000,38.22410682,41565,1,5.25
26000,36.75862069,43500,1,4.25
26000,37.48982072,49365,2.5,3.75
28000,45.77234803,62925,3,5
28000,27.28912467,45240,3,5.25
28000,31.28062706,77505,4,3.75
28000,41.41700405,44460,1,4.5
29000,35.82883417,50565,4,2.25
30000,24.90955318,138645,1,4.75
30000,33.33700721,70770,5.5,1.75
30000,24.42250139,81195,5,2.75
30000,29.83218654,78480,4,3.5
30000,35.83996256,64110,5,3.5
30000,24.27901563,45105,4,4
30000,20.14596671,70290,2,4.5
30000,27.93220339,35400,5,5.25
30000,43.61615655,59790,4,3.25
30000,41.65065167,58695,3,4.75
30000,29.69863014,48180,2.5,4.75
31000,32.67265567,60945,4,5
32000,23.14409222,78075,1,4
32000,26.7694562,46065,3.5,5
35000,40.67775515,66285,3,4.75
35000,33.72301136,42240,5,4.25
35000,29.30052292,97530,3.5,4
35000,38.45111492,43725,1,6
35000,46.49834254,67875,1,5.75
35000,43.58001822,49395,1,5.75
35000,30.54777194,77085,2.5,4.75
36000,40.03622342,64185,3.5,4
37000,26.79867144,58710,8,1
37000,31.62627499,73530,1,4.75
37000,35.39523632,40305,2.5,1.5
38000,42.78843227,59130,3.5,4.75
38000,32.80142303,46380,3,4.75
38000,56.17495712,69960,4,3.75
38000,36.42785731,66015,2,4.25
39000,29.45167286,64560,5,4.5
40000,30.15489415,71565,5,2.75
40000,43.40979853,65520,1,6
40000,35.93799079,55395,1,4.75
40000,30.97039474,45600,1,5
40000,37.90006737,66795,6,3.25
40000,32.24583167,112455,2.5,4.25
40000,33.79841897,56925,2,4.75
40000,42.57056452,74400,5.5,2.5
40000,35.95983087,70950,2.5,4
40000,32.35207555,68295,5,4.5
40000,37.88801572,38175,5,4.25
40000,31.09933775,27180,1,4.75
40000,27.86590979,48885,1,5
40000,36.02023199,55605,3,4.25
40000,33.3273906,46275,3,4.25
40000,36.92307692,72150,9,1
40000,37.94692737,53700,2.5,4.25
40000,20.83934426,45750,4.5,3.5
40000,35.45590682,54090,1,4.75
40000,34.1054823,43230,3,4.25
40000,42.25247237,51570,3,4.25
40000,41.0845987,69150,8,5.5
40000,42.29324547,54630,2,4.5
40000,32.02507193,72990,1,4.25
42000,30.50016728,44835,4,3.25
42000,48.00863132,48660,6,1.25
43000,38.76241358,47730,5,3.75
44000,38.25589837,41325,3,5.5
44000,30.46346117,78615,3,4.75
45000,41.31944444,64800,6.5,4.5
45000,30.25464812,108915,5,2.75
45000,24.26326531,73500,1,5.25
45000,35.92980437,65175,2,4.5
45000,24.43445505,29865,1,4.5
45000,41.1664,46875,1,6
45000,44.81549815,60975,2.5,4
45000,37.03303965,68100,1,5.75
45900,37.67662853,64245,1,5.25
46000,56.54144621,42525,1,5.25
47000,33.37252619,64425,2.5,4.5
48000,41.54192155,41685,3,5.25
48000,35.66390945,68910,1,3.5
48000,36.65783133,31125,2,5
49000,28.78104462,86730,4,3
50000,51.60697306,56790,6.5,3
50000,23.11225997,50775,5.5,3.25
50000,32.64557382,90315,3,3
50000,48.35632184,39150,1,4.75
50000,42.59968354,75840,6.5,2.5
50000,40.2054986,64380,2.5,5.25
50000,16.875,15360,3,3.5
50000,33.55141844,84600,8,1.5
50000,31.74797115,66540,1,4.75
50000,33.35986159,65025,4.5,3.75
50000,15.19008264,14520,4,3.25
50000,37.78109453,60300,3,4.5
51000,32.7438539,64065,3,3.75
51000,38.21568627,57375,3,5
52000,38.50786838,52425,3,3.75
55000,34.56751055,42660,1.5,4.75
55000,34.62206528,78585,5,3.75
55000,42.13075123,57705,2,5.25
56000,24.23741007,20850,5,4
56000,36.23499142,69960,5,4.75
58000,33.5111331,60630,3,4.25
58000,37.65352333,76845,9,2.25
59000,36.47760763,51915,3,3
59000,30.11276701,60390,3,5
60000,35.01610018,67080,5,2.5
60000,30.92491956,41955,2,5
60000,39.18554587,58530,8.5,2.25
60000,34.57193313,63705,9,1
60000,34.54537189,82485,5,4
60000,33.67408811,63330,1,5
60000,23.55072464,87975,4.5,3
60000,38.26022305,48420,7,2.75
61000,35.14124718,59895,3,4.25
62000,36.35193972,53745,1.5,5
62000,32.63333333,58500,5,3.25
63000,40.98475997,59055,3.5,3.25
63000,32.49787475,52935,4.5,3.5
63000,16.89069172,17565,5,3.5
65000,41.70838881,56325,5,3.5
65000,40.96212121,59400,8,2.25
65000,15.64043716,68625,4,3.5
65000,40.69764838,66975,3.5,3.75
68000,29.63888889,59400,5,3.5
70000,35.03073967,78075,4,4.75
70000,28.08548977,110715,5,4.25
70000,35.1301908,66825,4,4
70000,33.6521265,68775,7,2
71000,39.0781933,61770,1,6
71000,28.08591885,62850,5,3.5
72000,30.75578406,58350,1,4.75
73000,33.83200531,45180,3,2.5
73000,35.04424779,67800,7,2.75
74000,36.3258511,40095,5,1
74000,42.60774818,61950,6,1.75
74000,40.43897412,65505,3.5,4.25
75000,34.32323232,44550,1,4.5
75000,33.00242131,61950,1,4.75
75000,34.09246417,64890,8,2
75000,31.99524209,53595,3,5
75000,32.73262032,67320,2,3.75
75000,40.68742443,49620,4.5,5
75000,41.39081583,30705,4.5,3
76000,37.93943798,61920,2.5,5
76000,37.00247831,60525,3.5,4.75
77000,24.21678056,79020,5,2.5
78000,42.36743428,73605,7.5,2
78000,35.41742461,62670,3,4.75
78000,34.47590361,49800,3,3.5
80000,28.64877739,47235,3,3.25
80000,36.57739666,68220,8.5,2.25
80000,30.68329177,60150,6.5,3.5
80000,25.71317829,52245,2,4.25
80000,51.26052632,57000,1,4.75
81000,49.37311307,52665,6,2.75
82000,31.84696635,61065,7,3.5
85000,48.97823721,68925,4,2
85000,31.53550231,68235,8,3
85000,24.57876712,87600,9,1.25
85000,31.33469563,69735,6.5,2.25
85000,41.83380176,80055,2.5,4
85000,41.09948187,72375,5,1.75
86000,29.17140886,86985,3,4.5
88100,30.65276685,57195,4,3.25
89000,30.05847076,50025,7,2.25
90000,42.61367521,43875,6.5,2.5
90000,51.50817236,50475,3,4.5
90000,34.5696767,67275,5.5,3.25
90000,39.19410913,62130,3,3.5
90000,40.71926281,59415,4.5,2.25
90000,42.19559229,65340,2,5
90000,28.42098093,44040,3,4.5
90000,39.75748835,67605,5,3.75
98000,38.69525038,69795,3,3.25
100000,35.51260504,60690,1,2
100000,41.31906121,47295,1.5,4.75
100000,42.80703284,51615,3,4.25
100000,30.57101806,73080,3.5,4.25
100000,41.27487179,73125,5,3
104000,30.59189406,74760,5,3.75
109000,33.5039019,40365,3,3.25
110000,30.79712163,64620,5,4
110000,43.32892714,48795,5,2.25
110000,30.54390564,57225,2,4.5
110000,38.19413919,61425,8.5,2.75
115000,33.94421769,55125,2.5,4.5
120000,32.25409836,54900,6,3.25
120000,28.33011089,52755,3,4
125000,28.32562243,76515,6.5,2
129000,37.16744403,64320,7.5,1
129000,33.71741638,65025,4.5,3.5
130000,41.15883191,42120,2.5,4.25
130000,30.26950491,77865,3,5
130000,39.65840622,61740,2,5.5
130000,31.58089669,38475,4,3.25
140000,26.05722687,66315,3.5,3.75
150000,32.75644699,52350,8,2
150000,36.34746307,70065,5,3.25
159850,30.37818955,98760,4.5,2.5
160000,44.30279898,58950,3,4.25
164000,29.37323944,85200,4.5,2.5
175000,21.41097747,88545,4,4.5
180000,31.69418703,71220,3,4.25
180000,45.71542553,33840,1,6
185000,39.05232003,78555,5,2
190000,32.13628588,78915,8,1.5
200000,34.47448097,69360,1,5
200000,31.59412305,65340,3,3.25
200000,31.23807182,60990,3,3.25
240000,35.67789474,71250,5,2.75
275000,29.71171171,83250,4.5,3.25
350000,32.75326712,57390,3,3.25
,42.5273899,41895,1.5,4.75
,25.55517827,17670,5,3.5
,36.68548144,49695,3,4